caseid,age,sex,household_size,work_perweek,regular_sports,frequency_technology,eating_habits,stress_level,province,health_condition
1,5,0,2,3,NA,5,3,5,Alberta,3
2,5,0,1,3,0,5,2,3,Ontario,3
3,6,0,1,NA,NA,5,4,5,Manitoba,4
4,6,0,2,NA,NA,1,3,3,Quebec,2
5,2,1,2,3,NA,5,5,4,BritishColumbia,3
6,3,1,5,3,0,5,4,2,Ontario,4
7,4,0,1,3,NA,4,5,3,Saskatchewan,4
8,3,1,4,3,NA,5,4,3,Ontario,3
9,1,0,2,4,1,5,4,2,Ontario,4
10,4,0,6,3,NA,5,3,3,Ontario,3
11,7,0,1,NA,0,4,2,3,NovaScotia,4
12,2,1,4,NA,1,5,2,4,NewBrunswick,3
13,1,0,5,NA,1,5,4,2,Alberta,3
14,4,1,2,3,NA,5,3,4,NovaScotia,3
15,2,1,2,3,NA,5,4,3,NovaScotia,4
16,7,0,1,NA,0,1,4,5,NovaScotia,3
17,6,0,2,NA,0,5,4,3,Ontario,4
18,5,0,2,NA,NA,5,3,4,NewBrunswick,4
19,4,0,4,3,NA,5,3,3,Quebec,4
20,2,1,5,3,0,5,5,5,Manitoba,5
21,5,1,1,4,0,5,1,4,BritishColumbia,4
22,7,1,2,NA,0,5,4,2,BritishColumbia,1
23,6,1,2,1,NA,5,2,4,PrinceEdwardIsland,2
24,7,1,2,NA,NA,1,5,4,BritishColumbia,3
25,2,0,2,3,0,5,4,3,Quebec,5
26,5,1,2,3,0,5,3,2,NewfoundlandandLabroador,3
27,6,0,3,NA,0,5,4,3,Alberta,4
28,3,1,2,3,NA,5,3,2,Manitoba,3
29,5,0,3,3,1,5,3,3,Ontario,3
30,3,0,3,NA,0,5,3,3,BritishColumbia,3
31,7,0,5,NA,0,1,2,5,Ontario,2
32,5,0,1,NA,0,4,3,4,Ontario,3
33,4,1,2,3,0,5,4,4,NovaScotia,4
34,5,0,2,3,NA,3,5,5,Ontario,3
35,6,0,2,NA,NA,5,5,5,Alberta,4
36,6,1,1,3,0,5,3,3,Ontario,4
37,1,0,3,NA,0,5,4,4,BritishColumbia,4
38,5,0,2,NA,1,5,4,4,NovaScotia,4
39,3,1,4,4,NA,5,4,3,BritishColumbia,3
40,7,1,1,NA,0,4,5,5,Ontario,5
41,2,0,1,3,NA,5,4,4,Quebec,5
42,2,1,1,3,NA,5,2,3,Quebec,3
43,4,1,1,4,1,5,3,3,PrinceEdwardIsland,3
44,6,0,1,NA,NA,5,2,5,Alberta,2
45,1,1,5,NA,NA,5,3,2,Manitoba,3
46,3,0,4,3,NA,5,1,3,NewfoundlandandLabroador,4
47,6,1,2,3,NA,1,4,4,Saskatchewan,3
48,5,1,4,NA,0,3,2,2,NewfoundlandandLabroador,2
49,7,1,2,NA,NA,5,5,3,BritishColumbia,2
50,4,1,1,NA,0,1,1,2,Quebec,2
51,6,0,2,NA,NA,5,3,3,Ontario,5
52,7,1,2,NA,NA,1,5,2,Ontario,4
53,5,0,2,NA,1,5,4,5,Quebec,3
54,7,0,2,NA,0,1,4,4,Ontario,3
55,6,0,1,NA,0,5,2,3,NewfoundlandandLabroador,2
56,4,1,2,3,NA,5,4,4,Ontario,3
57,6,0,1,NA,0,2,3,4,NewfoundlandandLabroador,3
58,5,0,2,4,NA,5,2,3,Manitoba,4
59,5,0,5,3,0,4,3,3,Ontario,1
60,4,0,2,3,0,5,3,3,BritishColumbia,3
61,6,1,2,1,NA,1,3,5,NovaScotia,4
62,4,1,3,3,NA,NA,3,4,BritishColumbia,3
63,4,1,4,3,NA,5,4,2,Quebec,4
64,2,0,2,4,0,5,3,2,NewBrunswick,3
65,6,1,2,NA,0,5,4,4,Ontario,2
66,2,1,4,3,NA,5,3,3,NovaScotia,4
67,5,1,2,3,NA,NA,3,3,Saskatchewan,2
68,3,0,2,3,0,5,3,3,Quebec,4
69,7,0,1,NA,NA,1,2,5,Manitoba,4
70,1,1,4,2,1,5,5,2,Saskatchewan,5
71,4,1,4,4,NA,4,2,2,Ontario,4
72,6,0,2,NA,NA,5,4,5,Ontario,4
73,7,1,2,NA,0,4,3,5,Quebec,3
74,5,0,1,3,NA,5,4,4,Ontario,4
75,6,1,2,NA,0,5,3,4,Saskatchewan,2
76,5,0,2,3,NA,5,4,4,Manitoba,5
